,host_response_time,host_response_rate,host_acceptance_rate,neighbourhood_cleansed,neighborhood_matched,property_type,room_type,maximum_nights,minimum_nights,number_of_reviews,number_of_reviews_l30d,negiborhood_frequency
16454,4,0.33,0.33,Malibu,True,1,1,1125,3,5,0,398
16455,1,1.0,1.0,Inglewood,True,1,1,30,1,98,4,402
16456,2,1.0,0.88,Santa Monica,True,3,3,10,1,5,0,1184
16457,-1,-1.0,0.75,Long Beach,True,1,1,1124,30,66,0,1573
16458,1,0.99,0.99,Los Feliz,False,1,1,65,1,48,2,333
16459,-1,-1.0,0.0,Venice,False,2,2,241,30,1,0,1701
16460,1,1.0,1.0,Mid-City,False,1,1,1125,30,2,0,397
16461,1,1.0,0.0,Atwater Village,False,1,1,175,31,8,0,89
16462,3,1.0,1.0,Torrance,True,2,2,1125,2,4,0,295
16463,-1,-1.0,-1.0,Echo Park,True,2,2,1125,2,2,0,410
16464,3,0.5,0.84,Tujunga,False,1,1,15,2,25,0,22
16465,1,1.0,0.91,El Monte,True,2,2,1125,25,46,0,107
16466,2,0.9,0.5,Venice,True,1,1,180,31,4,0,1701
16467,1,1.0,1.0,Larchmont,False,1,1,14,1,47,0,84
16468,-1,-1.0,-1.0,Marina del Rey,False,2,2,1125,2,7,0,201
16469,-1,-1.0,0.0,Venice,True,1,1,1125,3,17,0,1701
16470,3,1.0,0.97,Mid-Wilshire,False,2,2,30,30,47,0,514
16471,-1,-1.0,-1.0,West Hollywood,False,2,2,5,2,0,0,632
16472,-1,-1.0,-1.0,Torrance,False,2,2,1125,1,0,0,295
16473,2,1.0,0.97,Walnut,False,2,2,1125,10,7,1,79
16474,1,0.97,0.99,Venice,True,1,1,1125,1,144,4,1701
16475,-1,-1.0,-1.0,Palms,False,1,1,65,25,14,0,249
16476,1,1.0,0.97,Hollywood,False,2,2,4,1,83,0,1616
16477,1,1.0,0.97,Hollywood,False,2,2,4,1,118,1,1616
16478,1,1.0,1.0,Pico Rivera,False,2,2,35,1,93,0,36
16479,1,0.99,0.91,Long Beach,True,1,1,160,2,77,3,1573
16480,-1,-1.0,1.0,Altadena,True,1,1,3,2,42,0,228
16481,-1,-1.0,-1.0,El Monte,False,2,2,1125,3,9,0,107
16482,4,0.0,1.0,Arcadia,True,2,2,1125,1,2,0,185
16483,1,1.0,1.0,Hermosa Beach,True,2,2,1125,30,4,0,195
16484,-1,-1.0,-1.0,Hollywood,True,1,1,1125,30,1,0,1616
16485,2,1.0,0.8,Reseda,True,2,2,5,2,36,1,112
16486,2,0.9,0.99,Azusa,True,2,2,1125,1,38,0,66
16487,1,1.0,0.66,Venice,True,1,1,1125,3,29,0,1701
16488,3,0.6,0.98,Pacific Palisades,True,1,1,1125,3,79,0,162
16489,1,1.0,1.0,Palmdale,False,2,2,1125,1,1,0,96
16490,1,1.0,0.99,West Adams,False,2,2,1125,30,65,0,81
16491,1,1.0,0.98,Santa Monica,True,1,1,1125,31,5,1,1184
16492,1,1.0,0.98,Glendale,False,1,1,180,2,21,4,556
16493,1,1.0,0.5,Rowland Heights,False,1,1,1125,7,10,0,517
16494,1,1.0,0.98,Long Beach,True,1,1,10,1,15,0,1573
16495,1,0.94,0.33,Hollywood Hills West,False,1,1,1125,10,1,1,521
